PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
3252,2149825816,57.90417099,58.0075264,98.82367706,-3.596787453,-6.582053661,-16.80162239,86.71032715,40.52543259,-28.80819893
3253,2149842483,61.56715393,60.31235504,102.5978317,-11.79839134,-2.658557415,-15.5462923,26.54871559,170.5178833,-58.81227493
3254,2149859150,63.74457932,61.90758514,104.7951508,-17.39263725,0.456550896,-8.900442123,16.4478302,101.1011047,-53.66199493
3255,2149875817,62.14582062,62.49861526,103.1198425,-19.73003197,5.580328465,7.954093933,-5.758959293,-25.07168198,-50.80530548
3256,2149892484,60.583992,62.39247513,101.3745499,-2.269921541,12.75154495,37.64126587,0.383322686,-45.00982666,-15.52420235
3257,2149909151,67.28348541,67.01586151,113.7235489,-2.492176294,-9.858123779,1.633567572,-267.3173218,405.9782104,-106.8476944
3258,2149925818,84.02567291,69.2808609,127.4218826,-31.68764496,-13.54522896,-33.32578659,242.1188507,329.9298401,-53.03798294
3259,2149942485,79.3200531,67.63896942,121.9598083,-11.80469513,13.86370945,-4.524564743,23.80331802,-132.6983643,82.08582306
3260,2149959152,86.07486725,68.83062744,129.4083862,-10.5890255,11.72223186,3.160083055,-8.617440224,173.9075775,-47.60277176
3261,2149975819,86.73974609,69.76776123,131.5319214,-6.034164906,-0.601402402,-5.654174328,-78.04138947,49.04322433,-51.18699265
3262,2149992486,89.95319366,70.13206482,134.7817078,-10.22924137,1.616636872,-1.25156951,10.88114834,68.0075531,-17.81084633
3263,2150009153,93.0690155,70.6440506,137.1962128,-11.99983025,1.389641404,-3.093885422,51.72857666,48.36149979,-29.88303375
3264,2150025820,93.74824524,70.71526337,137.3087769,-10.3645153,1.767689466,0.581592381,35.62995148,2.542122841,-2.288805485
3265,2150042487,96.09648895,70.65773773,139.4260101,-9.694820404,3.565158606,0.461928368,22.25911713,42.72640991,1.9428159
3266,2150059154,97.63143921,70.67171478,140.901474,-9.641757965,4.114443302,-0.7570979,9.816216469,29.57799149,-2.230418921
3267,2150075821,99.23026276,70.78775024,142.3824768,-8.738480568,3.720516443,-0.82128042,13.30254364,28.57115173,-9.080382347
3268,2150092488,101.0027618,70.89354706,143.8716125,-9.088685036,2.813418865,-1.081962347,23.2107296,28.33708572,-9.299473763
3269,2150109155,102.7267761,70.94727325,145.1654663,-9.310367584,2.859147072,-0.903838515,31.33229828,24.7606411,-6.272951126
3270,2150125822,104.4230499,70.97422791,146.4995575,-9.007069588,3.440088749,-0.841562986,27.37049484,25.59612846,-5.601544857
3271,2150142489,106.106575,71.03111267,147.8992767,-8.917002678,3.440778494,-1.248079896,22.86332893,26.07254982,-8.393133163
3272,2150159156,107.9271545,71.09915924,149.3679047,-8.767951965,3.30084753,-0.976480722,27.14703369,26.74419594,-10.17980385
3273,2150175823,110.0446091,71.17921448,151.104599,-8.889543533,3.742865086,-0.861446738,29.70737267,30.89400482,-13.40294456
3274,2150192490,112.5238571,71.27278137,153.2094574,-9.031405449,3.361503363,-0.91735816,30.44782639,36.43867874,-17.89537621
3275,2150209157,115.2589264,71.3381958,155.6023712,-9.240556717,2.987016678,-0.986595809,29.37194061,41.09358597,-20.13657761
3276,2150225824,118.1997986,71.34265137,158.2281799,-9.483602524,2.684875011,-1.217838526,28.45497894,45.50857925,-20.82356453
3277,2150242491,121.1303635,71.29027557,160.8489685,-9.797136307,2.734453678,-1.545732379,28.14041901,45.9413414,-20.11284447
3278,2150259158,124.0081253,71.18689728,163.464386,-9.759537697,2.710206509,-1.806157112,25.35299301,46.4888916,-19.85686111
3279,2150275825,126.7427673,71.04371643,165.9391479,-9.507611275,2.380917311,-1.972286105,24.85889816,44.77991867,-18.7338562
3280,2150292492,129.4510956,70.83727264,168.3314972,-9.506800652,2.180990458,-2.08373189,28.10415077,45.15156555,-17.0909462
3281,2150309159,132.1923523,70.60184479,170.6900635,-9.517355919,2.687864542,-1.962951064,32.17391968,45.2196846,-17.77366638
3282,2150325826,135.1593475,70.33402252,173.2419128,-9.673748016,2.955944061,-1.902538657,34.99313736,48.74734116,-21.64970589
3283,2150342493,138.4922333,70.03113556,176.1213074,-9.880616188,2.86105752,-1.540808201,38.71774673,53.95621109,-28.20043945
3284,2150359160,142.1734314,69.6654129,179.3565979,-10.01590538,2.951098204,-1.677695513,39.91012573,60.20752335,-35.39230347
3285,2150375827,146.0976715,69.20397949,-177.0990601,-10.27279472,2.804311752,-1.635832787,37.61998749,66.83228302,-42.24387741
3286,2150392494,150.2478027,68.62339783,-173.3007507,-10.70730209,2.576447487,-1.639499784,37.64321136,73.4641037,-49.21888733
3287,2150409161,154.510437,67.92150116,-169.361557,-10.97883892,2.430691481,-1.895594239,37.47386551,78.50566864,-55.9249382
3288,2150425828,158.8216858,67.11618042,-165.4627228,-11.38788891,2.219961405,-2.110833645,43.79212189,80.42719269,-60.92179108
3289,2150442495,163.2564697,66.17211914,-161.594574,-11.63194275,2.49084568,-1.800499916,54.28549957,84.10047913,-66.53836823
3290,2150459162,167.9668579,64.95306396,-157.5758667,-12.14900303,2.520820379,-1.214277864,64.36135101,96.26740265,-76.3769455
3291,2150475829,172.9329834,63.45119476,-153.532959,-13.20306969,2.341868639,-0.248721138,80.81949615,107.006485,-87.08439636
3292,2150492496,178.1104279,61.60239792,-149.7032623,-14.71877098,2.777323008,0.988429368,108.0157013,119.5081863,-94.95400238
3293,2150509163,-176.5190277,59.35105896,-146.2467804,-17.06990051,7.001162052,3.329261303,142.9960785,134.311203,-102.0079727
3294,2150525830,-171.5946503,56.1830864,-143.2246399,-15.68736839,11.30089855,5.755466938,143.2732391,179.7268982,-113.8357925
3295,2150542497,-168.4547272,51.48581314,-140.4378967,-14.06310463,8.277687073,3.059788227,54.574646,261.1665039,-143.9850311
3296,2150559164,-166.7640228,44.58641434,-138.3566895,-14.03075123,0.486665368,-9.278392792,9.742881775,387.1109924,-168.4006653
