PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
2944,1523812164,122.5351486,-46.31431961,10.74035358,9.628622055,8.632080078,-2.880865097,56.59072876,14.04780674,-67.49997711
2945,1523828831,122.2361832,-45.32587051,11.96724701,8.629761696,7.977724552,-2.943523407,36.56721115,10.74934769,-75.99854279
2946,1523845498,121.6471863,-44.1583252,13.26802826,7.423950672,6.926214218,-2.899804115,21.32928276,9.176116943,-87.21220398
2947,1523862165,120.8657684,-42.78548431,14.69569874,6.363589287,6.028870106,-2.777097702,13.79212952,9.604053497,-101.1082458
2948,1523878832,120.0346069,-41.22154617,16.25634003,5.736427784,5.198993206,-2.572042704,14.54022503,11.6341486,-114.5937042
2949,1523895499,119.3116608,-39.53145218,17.91545296,5.423169136,4.524223804,-2.530417919,22.86240005,14.89491272,-124.0857544
2950,1523912166,118.8239517,-37.80729675,19.61908722,5.32699728,4.282289505,-2.49744153,36.35802078,18.70430565,-127.6324844
2951,1523928833,118.5941467,-36.13367844,21.28650665,5.401741505,4.405860901,-2.63799715,48.1270256,21.07447052,-124.9109802
2952,1523945500,118.5917969,-34.57018661,22.86097527,5.424248219,4.76733923,-2.718220234,56.26078796,21.95701027,-117.6892319
2953,1523962167,118.7407227,-33.15478516,24.30199814,5.429533482,5.149757385,-2.652353764,58.85049438,21.45228004,-107.4046402
2954,1523978834,118.9532928,-31.89915276,25.58701897,5.35678196,5.512154102,-2.505908012,55.9458046,19.77934265,-95.80393982
2955,1523995501,119.1442642,-30.7957592,26.7192173,5.263748169,5.579774857,-2.344584703,48.53786087,17.75956345,-84.50075531
2956,1524012168,119.2515259,-29.81477356,27.74632263,5.100388527,5.603071213,-2.297811985,39.27328873,16.91439819,-75.79432678
2957,1524028835,119.2759628,-28.93344307,28.70527077,4.941742897,5.380653381,-2.351083994,31.43556976,17.06970596,-69.10365295
2958,1524045502,119.2332916,-28.15678024,29.63332176,4.916858673,5.394777775,-2.467515945,25.7970314,19.08245277,-63.02706146
2959,1524062169,119.1222687,-27.5133419,30.52556992,5.077226162,5.752761841,-2.496128798,20.08519554,21.68298912,-55.2564621
2960,1524078836,118.9124451,-27.03853226,31.38212395,5.420214653,6.125749111,-2.698891878,12.71242905,25.2917099,-45.5406723
2961,1524095503,118.6608658,-26.76740074,32.19673538,5.867087841,6.328379631,-2.957074404,8.775001526,29.5273037,-33.72328186
2962,1524112170,118.4206161,-26.71307373,32.94620132,6.259736061,6.574894905,-3.262807131,7.570399761,32.87392044,-20.53036118
2963,1524128837,118.1665192,-26.84923553,33.635952,6.260243416,7.181464672,-3.366832972,5.151608944,35.54741287,-8.801224709
2964,1524145504,117.8029633,-27.15304565,34.27243423,6.116266251,7.581938744,-3.531980753,-2.726286888,37.73585129,1.644714952
2965,1524162171,117.3493423,-27.61226082,34.8759613,6.096544743,7.734875202,-3.999557972,-8.81048584,40.38583374,11.04760933
2966,1524178838,116.8492355,-28.25185776,35.47771835,6.590310574,8.421748161,-4.337709427,-11.34668827,45.00035477,21.14032555
2967,1524195505,116.3982697,-29.0613308,36.03676224,7.390818119,9.829227448,-4.753943443,-9.226499557,47.19239044,31.73452377
