PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1141,4152244166,-31.15814781,77.16546631,51.01031876,-11.94959641,-3.101902246,5.03628397,139.5541687,-19.71778488,-12.10211849
1142,4152260833,-28.80083847,76.50514984,51.1133728,-11.83633041,-3.09041214,3.527826786,136.6339874,-35.41933441,-17.75773811
1143,4152277500,-26.81959343,75.59142303,51.05725479,-12.65459347,-2.628127575,2.785664082,123.3669891,-48.50197601,-25.47365952
1144,4152294167,-25.31241798,74.42593384,50.84340286,-14.48285294,-2.405442715,2.994413376,104.0446701,-61.75571442,-32.88941193
1145,4152310834,-24.35860634,72.97066498,50.50502014,-15.35977077,-2.173109531,3.265880823,77.96257782,-77.23679352,-41.02910995
1146,4152327501,-24.11978912,71.22238922,49.94698334,-15.132164,-2.219756603,3.124571562,47.42312241,-91.81944275,-51.62875366
1147,4152344168,-24.65685272,69.15480804,49.07104874,-13.76343727,-2.242209196,2.696583509,18.47343445,-106.0213547,-66.62407684
1148,4152360835,-26.01346779,66.798172,47.73765945,-12.11216927,-2.318741083,2.213564396,-5.950568199,-115.3528976,-86.80212402
1149,4152377502,-28.02093697,64.2019043,45.99840164,-11.11309719,-2.175949812,1.875839233,-24.20424461,-119.5118942,-108.4868851
1150,4152394169,-30.21332932,61.42687607,44.11418915,-10.57789993,-2.794375896,1.482589722,-29.67532158,-120.7196579,-125.315834
1151,4152410836,-32.14216995,58.54549408,42.29710388,-10.32808685,-2.966148615,1.281377554,-20.00929451,-120.0797806,-135.3359833
1152,4152427503,-33.64698792,55.63131714,40.63044357,-10.02616692,-3.198473454,1.019627333,-5.011983871,-117.7123032,-139.7706909
1153,4152444170,-34.65774155,52.75605392,39.13906097,-9.822852135,-3.077142239,0.86453867,13.24150562,-113.7927322,-139.3598633
1154,4152460837,-35.18209076,49.97868729,37.85795593,-9.530165672,-2.823491335,0.798233867,29.90241051,-109.5931015,-133.9364014
1155,4152477504,-35.33485031,47.33376694,36.7760582,-9.236507416,-2.511256456,0.791460991,40.89752197,-105.2581635,-125.8308792
1156,4152494171,-35.31560516,44.8385582,35.85910416,-8.833744049,-2.035385609,0.787280202,42.11568069,-100.5204773,-116.9129105
1157,4152510838,-35.31097031,42.50542831,35.07374573,-8.325643539,-1.805228829,0.702691674,34.15427017,-94.96909332,-107.9563446
1158,4152527505,-35.41550827,40.35034561,34.38317871,-7.702352524,-1.736728787,0.564645052,22.48665619,-87.91095734,-99.40447998
1159,4152544172,-35.71026993,38.38573074,33.73619843,-7.053962708,-1.659268856,0.549810946,8.295795441,-78.87896729,-92.22109222
1160,4152560839,-36.2566185,36.62735367,33.09886932,-6.418497086,-1.675024509,0.527683616,-8.138695717,-67.9960556,-85.79006958
1161,4152577506,-37.00076675,35.10559464,32.44546127,-5.769663811,-1.888730049,0.575220644,-20.30815697,-54.76288605,-79.2432785
1162,4152594173,-37.81420135,33.84906769,31.76460075,-5.31938076,-2.191374302,0.672111332,-24.31015396,-39.87715149,-71.82234192
1163,4152610840,-38.56284714,32.88837051,31.05596542,-4.90796423,-2.377818108,1.022271395,-20.16095352,-23.80251694,-62.82695007
1164,4152627507,-39.12638092,32.2518425,30.34671593,-4.80910635,-2.496436357,1.44700551,-9.522478104,-7.699131012,-51.17703247
1165,4152644174,-39.40148926,31.96438789,29.68006134,-4.775967121,-2.612184525,1.786265969,6.134951115,7.640038013,-36.44156647
1166,4152660841,-39.38130188,32.03532028,29.09390831,-4.873311996,-2.525550365,2.140235662,21.23224258,21.7650528,-19.64723969
1167,4152677508,-39.15260315,32.44861603,28.60459328,-4.9992733,-2.406670094,2.355741501,30.76958275,34.4629364,-2.829615593
1168,4152694175,-38.77967834,33.18461609,28.21028137,-5.12558794,-2.394506216,2.563001871,36.58267212,46.38316345,13.00705338
1169,4152710842,-38.32873535,34.21507263,27.90344238,-5.471583843,-2.396341562,2.812385559,38.66305923,57.43980026,27.24689674
1170,4152727509,-37.83705521,35.51698303,27.69075203,-6.081398964,-2.373039246,2.971608877,38.19039154,67.48504639,40.62839508
1171,4152744176,-37.28642273,37.07555008,27.59560776,-6.736065388,-2.380768061,3.198855162,37.81296158,76.47064972,54.04362488
