PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
2787,576585141,54.08402252,-86.09159851,120.2700806,23.10645676,-4.125152588,-8.104836464,57.62859344,256.0333557,-293.5458069, 
2788,576601808,51.9278717,-80.1197052,123.2597656,23.31810188,-8.295215607,-13.15008831,51.81847763,232.98909,-271.7857056, 
2789,576618475,48.91373825,-74.59075928,125.5902939,20.0640831,-9.793413162,-11.40283394,-41.27672195,235.4489136,-234.7919922, 
2790,576635142,48.07546616,-70.03637695,126.485817,15.8481636,-14.23161602,-14.22970104,3.3282547,193.9465637,-192.652298, 
2791,576651809,47.34975433,-66.53837585,129.1601257,4.147883415,-19.64208984,-24.75175476,107.6438446,185.8841858,-114.3370361, 
2792,576668476,47.02141953,-66.83190155,128.9170532,-9.497128487,-19.8934803,-16.77963066,-31.40829086,-15.27784061,9.638379097, 
2793,576685143,50.95875549,-70.37371063,123.886467,9.3051157,-13.79479599,-14.79208183,-43.64562988,-221.4653778,88.31382751, 
2794,576701810,52.68740845,-73.41716766,122.3020554,12.61082649,-8.887099266,-14.17290878,14.30669117,-135.0455627,125.4102554, 
2795,576718477,52.48413086,-75.97498322,118.1459351,17.39560699,0.746247768,-2.650521755,-252.1395569,-144.3366394,81.83465576, 
2796,576735144,43.06430435,-76.0490799,121.5176849,21.12408829,12.31766701,22.92612457,-368.3000488,34.49414825,36.16010666, 
2797,576751811,32.07588577,-75.61064148,129.0849457,1.952831149,-14.88783741,19.92064476,-218.1849213,89.68296051,72.17610168, 
2798,576768478,72.43608856,-82.22518921,99.35610199,11.20665455,-24.38402367,-13.08082199,665.881897,-503.1765442,95.77276611, 
2799,576785145,96.66905975,-83.4167099,74.32637024,31.50494957,7.499062061,-20.70678329,-37.09986877,-191.1560669,51.53678513, 
2800,576801812,92.06459808,-84.51602173,75.36781311,10.55935383,3.635372877,-5.01606369,-214.8998871,12.68245983,65.11690521, 
2801,576818479,108.6357956,-85.20662689,57.87392807,4.531607628,-4.470683098,0.730613053,-51.46894455,-83.50172424,57.02175522, 
2802,576835146,134.4185944,-84.90579987,34.19004059,7.861813545,3.142865658,-6.568359375,130.5725098,-111.6310501,48.4495163, 
2803,576851813,143.8526306,-84.768013,22.94936562,12.74707603,-0.349131644,-5.098657608,-105.9670639,-44.50668335,40.42965698, 
2804,576868480,151.4355927,-84.71995544,15.11158848,11.25458431,-4.761836529,0.785188317,-13.64596462,-24.03000069,34.82878113, 
2805,576885147,158.3054199,-84.28399658,8.503984451,10.90266228,-0.850316882,0.298084468,17.02463722,-38.34847641,23.25698471, 
