PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
663,9127156,-57.38027573,56.58889008,-97.6984024,-8.983324051,-1.539188623,0.246346697,-101.4985275,-84.96476746,-92.58220673, 
664,9143823,-58.5476532,54.5776329,-97.1335907,-8.994311333,-2.026140213,0.089756742,-97.80763245,-81.18312073,-91.66786194, 
665,9160490,-59.50378799,52.68779755,-96.53062439,-9.195464134,-2.189587593,0.067606248,-86.28416443,-77.69406891,-85.73944092, 
666,9177157,-60.17257309,50.96912766,-95.83028412,-9.409925461,-2.266340494,0.019712295,-72.92195892,-75.21942902,-75.70042419, 
667,9193824,-60.55028152,49.45354843,-94.99875641,-9.482924461,-2.289529562,-0.061123148,-60.73156357,-73.67822266,-62.87722015, 
668,9210491,-60.67084122,48.1774292,-94.03884125,-9.302124023,-2.097572803,-0.197362274,-50.27906036,-71.57990265,-47.77599716, 
669,9227158,-60.62824249,47.16201019,-92.98366547,-9.064478874,-1.889543653,-0.260180473,-43.91856384,-67.98493958,-31.9305191, 
670,9243825,-60.51568985,46.41017914,-91.85191345,-8.797071457,-1.660358667,-0.246342406,-42.37615585,-63.62176514,-16.2181263, 
671,9260492,-60.3953476,45.93301773,-90.65138245,-8.529601097,-1.494587898,-0.18849735,-44.35512543,-58.47116089,-0.138778642, 
672,9277159,-60.28925323,45.73495102,-89.38352966,-8.378048897,-1.500962496,-0.032612812,-47.78367233,-52.88921356,16.01821327, 
673,9293826,-60.16519165,45.80726624,-88.01856995,-8.249939919,-1.628229022,0.17620188,-50.79735184,-48.37537766,32.19816971, 
674,9310493,-59.99437332,46.12197876,-86.5500946,-7.954113483,-1.784671664,0.358504862,-52.62550735,-44.60064697,46.93244171, 
675,9327160,-59.72105789,46.64126587,-84.96472931,-7.63929224,-1.940403342,0.521512091,-51.97458267,-42.03032303,59.86663437, 
676,9343827,-59.3153801,47.33916855,-83.25502777,-7.295101643,-1.980974197,0.549083471,-50.16067123,-39.98013306,71.51332092, 
677,9360494,-58.75665665,48.21842194,-81.40821838,-7.306272507,-1.969379663,0.565752089,-48.00840759,-37.62455368,83.44470978, 
678,9377161,-58.04439545,49.3027153,-79.37004852,-7.626999855,-1.830854177,0.517351389,-48.67696762,-35.48352432,97.51296234, 
679,9393828,-57.22140121,50.63864899,-77.08247375,-8.352902412,-1.581776619,0.399534792,-55.15255356,-32.56059265,114.784462, 
680,9410495,-56.36408615,52.26622772,-74.48692322,-9.430727005,-1.530018926,0.291915655,-69.76612854,-28.62008095,134.6304016, 
681,9427162,-55.53388596,54.18303299,-71.53855896,-10.63041496,-1.648556471,0.256034523,-91.26318359,-24.25481606,154.3149872, 
682,9443829,-54.76222229,56.31496811,-68.22418213,-11.17548275,-2.075387478,0.331559688,-116.4337616,-20.82287025,169.4156952, 
683,9460496,-54.16257095,58.55162048,-64.69865417,-10.77230835,-2.594579935,0.228712887,-141.5928345,-15.54658127,175.007309, 
684,9477163,-53.7209816,60.83391953,-61.14082336,-10.36703587,-3.225128889,0.182854548,-157.0537567,-7.365108967,173.7107849, 
685,9493830,-53.33510971,63.12096786,-57.68230057,-10.23453522,-3.493270874,0.525963783,-159.2445221,2.300992489,167.8944244, 
686,9510497,-52.8503952,65.38417053,-54.33255386,-10.50373363,-3.789668083,1.075304031,-151.1231689,10.87563705,160.6065521, 
687,9527164,-51.88746643,67.61710358,-50.91878128,-10.65610027,-3.814251661,1.442534924,-129.2232513,16.2663765,155.5749969, 
688,9543831,-50.11268997,69.8170166,-47.1704483,-10.71543217,-4.248816967,1.44384253,-102.2207947,18.76317596,153.5569611, 
689,9560498,-47.24034119,71.93973541,-42.76524734,-10.30628204,-4.085434914,1.247653365,-76.5295105,18.19388199,152.4295044, 
690,9577165,-43.46389389,73.94686127,-37.60084915,-9.912718773,-3.829722166,1.112925887,-68.78968048,19.05219078,149.1587982, 
691,9593832,-38.83792877,75.78803253,-31.52210236,-9.721536636,-3.637284756,0.890309274,-73.65753174,19.57264709,143.9994354, 
692,9610499,-33.39349747,77.41426849,-24.39196014,-9.73528862,-3.379478693,0.806928694,-88.63209534,19.39614677,137.2148895, 
693,9627166,-27.22383499,78.78191376,-16.22785378,-9.939180374,-3.313016653,0.734803021,-108.2687149,18.832798,128.2639465, 
694,9643833,-20.50505447,79.87754822,-7.255825996,-10.21012115,-3.481721878,0.608160496,-125.0162201,18.75491905,117.4264832, 
695,9660500,-13.51870632,80.70931244,2.177392006,-10.47768593,-3.719180346,0.49078685,-137.834259,18.7753582,105.5953293, 
696,9677167,-6.61906147,81.32345581,11.64522076,-10.3918848,-4.082390785,0.471951932,-146.2490082,19.76613998,93.59938812, 
697,9693834,-0.143147081,81.78986359,20.70420074,-10.17581654,-4.519249439,0.50522238,-148.2288208,22.24788284,81.22354889, 
698,9710501,5.804373741,82.18817139,29.12626648,-9.921149254,-4.77447319,0.638684273,-142.6995087,26.37091637,69.14714813, 
699,9727168,11.49607372,82.57485199,37.05435562,-9.737976074,-4.997883797,1.001696944,-129.1678619,31.45653152,58.92790985, 
700,9743835,17.3150959,82.96686554,44.75528717,-9.647446632,-5.048289299,1.402254105,-108.4639969,36.2761116,50.61390686, 
701,9760502,23.52512932,83.35234833,52.52885437,-9.464468956,-4.811388016,1.646076202,-89.75553894,40.08442688,44.21665192, 
702,9777169,30.43359184,83.74013519,60.73200607,-9.268984795,-4.766705036,1.923406839,-73.86181641,44.86838531,39.03374863, 
703,9793836,38.29026794,84.11187744,69.59304047,-9.060267448,-4.75932312,2.361082792,-56.62484741,49.1829567,34.21379089, 
704,9810503,47.24736786,84.44208527,79.24448395,-8.99890995,-4.594783783,2.938920498,-38.16319275,52.78689194,29.3572197, 
705,9827170,57.23241425,84.69754791,89.66107178,-9.127000809,-4.295824051,3.380470991,-22.53176498,55.1795311,24.59343147, 
706,9843837,68.08958435,84.84277344,100.7452011,-9.327400208,-4.075892448,3.607698202,-10.33407497,56.92026901,20.61687088, 
707,9860504,79.28833771,84.8474884,112.0103531,-9.648393631,-4.017177105,3.855474234,-0.788413703,57.46323013,17.35515404, 
708,9877171,89.99212646,84.7258606,122.6836395,-10.05285549,-3.993272305,4.153085232,4.901868343,56.40048218,13.28943729, 
709,9893838,99.66410828,84.52017212,132.3370972,-10.44185543,-3.748389244,4.251969337,4.028255463,54.32021713,8.359447479, 
710,9910505,108.2999954,84.25932312,141.0018768,-11.01418304,-3.659815073,4.484289646,1.076934814,52.34468079,3.584557533, 
711,9927172,115.7596893,83.97901154,148.4754486,-11.57355499,-3.844727039,4.874026299,1.80181694,48.20653152,-0.902912617, 
712,9943839,122.1403503,83.75022125,154.7447205,-11.7624445,-4.164774895,5.344140053,9.058208466,41.19086838,-6.667316914, 
713,9960506,128.0146637,83.64350128,160.2749023,-11.93632507,-4.395104885,5.517357826,22.81510353,32.92731857,-14.86126709, 
714,9977173,133.7673645,83.72971344,165.381073,-12.19266987,-4.388055801,5.52554512,40.7436409,21.58263397,-25.08887291, 
715,9993840,139.7792511,84.10482025,170.4722748,-11.97161674,-4.101833344,5.333285809,56.99303055,5.344600677,-38.07513046, 
716,10010507,147.2325592,84.81299591,176.8356323,-11.12539482,-3.519496202,4.995182037,67.1344223,-12.57411766,-53.92821121, 
717,10027174,158.6784973,85.78722382,-172.8575134,-10.35808754,-3.07351017,4.445785999,70.29273224,-29.17988396,-70.59284973, 
718,10043841,179.8593903,86.77919006,-152.7989349,-10.42011356,-2.742127419,3.894454479,69.62609863,-43.42861557,-86.21417236, 
